Potential (V),Current (A)
0.998942137,4.34E-06
0.987900709,1.54E-06
0.976859281,1.01E-06
0.966431265,7.36E-07
0.95508313,6.14E-07
0.94342829,4.80E-07
0.933000274,4.22E-07
0.921652139,3.59E-07
0.910917417,2.84E-07
0.900182696,2.67E-07
0.888834561,2.50E-07
0.878099839,1.91E-07
0.867058411,1.72E-07
0.856016983,1.51E-07
0.844975554,1.23E-07
0.834240832,1.21E-07
0.822892698,9.11E-08
0.811544563,7.15E-08
0.801423254,6.52E-08
0.790075119,3.03E-08
0.779340398,8.69E-09
0.767992263,-2.19E-08
0.757870954,-4.88E-08
0.746216113,-8.50E-08
0.735481391,-1.38E-07
0.724133256,-1.92E-07
0.712785122,-2.52E-07
0.701743694,-3.61E-07
0.691315678,-5.12E-07
0.679660837,-6.87E-07
0.669232821,-9.14E-07
0.658191393,-1.24E-06
0.647149965,-1.64E-06
0.63580183,-2.19E-06
0.625067108,-3.04E-06
0.61402568,-3.94E-06
0.602984252,-5.12E-06
0.592556236,-6.57E-06
0.580594689,-8.39E-06
0.569859967,-1.04E-05
0.558818539,-1.28E-05
0.547777111,-1.55E-05
0.537042389,-1.83E-05
0.526000961,-2.14E-05
0.515572945,-2.46E-05
0.503918104,-2.78E-05
0.493183382,-3.09E-05
0.48244866,-3.40E-05
0.471100526,-3.69E-05
0.459752391,-3.98E-05
0.448710963,-4.24E-05
0.438282947,-4.48E-05
0.426934813,-4.71E-05
0.416200091,-4.91E-05
0.404851956,-5.10E-05
0.394117234,-5.26E-05
0.382462393,-5.38E-05
0.372034378,-5.50E-05
0.360379537,-5.58E-05
0.350258228,-5.64E-05
0.338910093,-5.68E-05
0.328175371,-5.71E-05
0.317133943,-5.71E-05
0.306399221,-5.70E-05
0.295051087,-5.67E-05
0.284009658,-5.64E-05
0.272661524,-5.59E-05
0.262540214,-5.54E-05
0.250885374,-5.49E-05
0.240150652,-5.43E-05
0.229109223,-5.36E-05
0.218067795,-5.30E-05
0.207333073,-5.22E-05
0.195984939,-5.15E-05
0.185250217,-5.08E-05
0.173902082,-5.02E-05
0.16316736,-4.94E-05
0.152432638,-4.87E-05
0.141084504,-4.80E-05
0.130656488,-4.73E-05
0.119308354,-4.66E-05
0.108266925,-4.60E-05
0.097225497,-4.53E-05
0.085877363,-4.47E-05
0.074529228,-4.41E-05
0.064407919,-4.35E-05
0.053366491,-4.29E-05
0.042018356,-4.24E-05
0.031283634,-4.20E-05
0.019935499,-4.15E-05
0.008894071,-4.10E-05
-0.001840651,-4.07E-05
-0.012575373,-4.03E-05
-0.023923507,-4.00E-05
-0.034964935,-3.99E-05
-0.04631307,-3.98E-05
-0.056741086,-3.98E-05
-0.067475808,-4.00E-05
-0.078823942,-4.02E-05
-0.090172077,-4.07E-05
-0.098146442,-4.07E-05
-0.087105013,-3.90E-05
-0.076063585,-3.76E-05
-0.06471545,-3.63E-05
-0.053980729,-3.51E-05
-0.0429393,-3.40E-05
-0.032204578,-3.29E-05
-0.02116315,-3.20E-05
-0.009815016,-3.12E-05
0.000613,-3.04E-05
0.011961135,-2.97E-05
0.023309269,-2.90E-05
0.034043991,-2.85E-05
0.044778713,-2.78E-05
0.056126848,-2.73E-05
0.067474982,-2.68E-05
0.078209704,-2.63E-05
0.088331013,-2.59E-05
0.100292561,-2.54E-05
0.110720576,-2.50E-05
0.122375417,-2.45E-05
0.132803433,-2.41E-05
0.144458274,-2.37E-05
0.154886289,-2.33E-05
0.166234424,-2.28E-05
0.176969146,-2.24E-05
0.187703867,-2.20E-05
0.199358708,-2.16E-05
0.21009343,-2.11E-05
0.220828152,-2.07E-05
0.232176287,-2.02E-05
0.242911009,-1.98E-05
0.254259143,-1.93E-05
0.264687159,-1.89E-05
0.276342,-1.84E-05
0.287076722,-1.80E-05
0.29811815,-1.75E-05
0.309159578,-1.70E-05
0.319587594,-1.65E-05
0.330935728,-1.59E-05
0.341977157,-1.54E-05
0.352711878,-1.49E-05
0.363753307,-1.42E-05
0.374794735,-1.36E-05
0.38614287,-1.29E-05
0.396877591,-1.21E-05
0.407612313,-1.12E-05
0.418960448,-1.02E-05
0.430001876,-9.07E-06
0.440736598,-7.70E-06
0.452084733,-6.10E-06
0.463432867,-4.20E-06
0.474167589,-2.00E-06
0.485209017,5.42E-07
0.496250446,3.45E-06
0.506678461,6.60E-06
0.517719889,1.01E-05
0.528454611,1.38E-05
0.539802746,1.76E-05
0.550844174,2.16E-05
0.561885602,2.55E-05
0.572927031,2.92E-05
0.584275165,3.27E-05
0.594703181,3.59E-05
0.606051315,3.88E-05
0.616479331,4.12E-05
0.627827466,4.32E-05
0.638562187,4.46E-05
0.650217028,4.56E-05
0.66095175,4.60E-05
0.671686472,4.61E-05
0.683034607,4.58E-05
0.693769329,4.52E-05
0.705117463,4.44E-05
0.715545479,4.36E-05
0.726893613,4.27E-05
0.737935042,4.16E-05
0.749283176,4.06E-05
0.759711192,3.96E-05
0.77075262,3.87E-05
0.781487342,3.77E-05
0.793142183,3.67E-05
0.804183611,3.58E-05
0.814918333,3.49E-05
0.825653055,3.40E-05
0.836694483,3.32E-05
0.848042618,3.24E-05
0.859084046,3.17E-05
0.869818768,3.09E-05
0.881166902,3.03E-05
0.891901624,2.96E-05
0.902636346,2.90E-05
0.913984481,2.83E-05
0.925639322,2.78E-05
0.935760631,2.72E-05
0.946495353,2.67E-05
0.957843488,2.62E-05
0.968884916,2.57E-05
0.980539757,2.53E-05
0.991581185,2.48E-05
