Potential (V),Current (A)
0.798969603,1.71E-05
0.790075119,4.10E-06
0.780873929,1.84E-06
0.771979445,9.71E-07
0.762778255,5.48E-07
0.753883771,2.11E-07
0.744989287,-6.06E-08
0.735481391,-2.86E-07
0.726893613,-4.05E-07
0.71799913,-4.71E-07
0.708797939,-5.93E-07
0.700210162,-7.24E-07
0.691008972,-7.94E-07
0.682114488,-8.12E-07
0.67352671,-9.22E-07
0.664018814,-9.64E-07
0.654817623,-1.18E-06
0.645616433,-1.34E-06
0.637028656,-1.53E-06
0.627827466,-1.83E-06
0.618932982,-2.11E-06
0.609731791,-2.55E-06
0.601144014,-3.16E-06
0.59224953,-3.96E-06
0.58304834,-5.19E-06
0.57384715,-6.72E-06
0.564952666,-8.73E-06
0.556058182,-1.12E-05
0.546856992,-1.45E-05
0.537962508,-1.85E-05
0.529068024,-2.33E-05
0.519560127,-2.89E-05
0.51097235,-3.52E-05
0.50177116,-4.21E-05
0.492876676,-4.94E-05
0.483675486,-5.69E-05
0.474474295,-6.43E-05
0.466193224,-7.12E-05
0.456992034,-7.74E-05
0.447790844,-8.25E-05
0.438589654,-8.64E-05
0.430001876,-8.90E-05
0.42049398,-9.04E-05
0.412212908,-9.07E-05
0.403011718,-9.00E-05
0.394117234,-8.86E-05
0.385529457,-8.66E-05
0.375714854,-8.42E-05
0.367127076,-8.17E-05
0.358232593,-7.92E-05
0.348724696,-7.67E-05
0.339830212,-7.42E-05
0.330935728,-7.20E-05
0.322041244,-6.98E-05
0.313146761,-6.81E-05
0.304252277,-6.63E-05
0.295357793,-6.46E-05
0.286156603,-6.31E-05
0.276955412,-6.16E-05
0.268674341,-6.02E-05
0.259166445,-5.89E-05
0.250271961,-5.79E-05
0.241377477,-5.68E-05
0.232176287,-5.56E-05
0.222975097,-5.47E-05
0.214387319,-5.37E-05
0.204879423,-5.30E-05
0.196291645,-5.22E-05
0.187090455,-5.13E-05
0.177889265,-5.06E-05
0.168994781,-5.00E-05
0.160407003,-4.93E-05
0.151205813,-4.86E-05
0.142004623,-4.79E-05
0.133110139,-4.74E-05
0.123602242,-4.69E-05
0.115321171,-4.63E-05
0.106426687,-4.58E-05
0.097225497,-4.53E-05
0.088024307,-4.48E-05
0.078823117,-4.44E-05
0.070235339,-4.39E-05
0.061647562,-4.35E-05
0.052139665,-4.31E-05
0.043245181,-4.27E-05
0.034657404,-4.23E-05
0.025456214,-4.20E-05
0.015948317,-4.16E-05
0.007053833,-4.13E-05
-0.001840651,-4.09E-05
-0.010428428,-4.07E-05
-0.019629618,-4.05E-05
-0.029444221,-4.02E-05
-0.037725293,-4.00E-05
-0.046619776,-3.99E-05
-0.055820967,-3.99E-05
-0.06471545,-3.98E-05
-0.073303228,-3.99E-05
-0.082504418,-4.01E-05
-0.091398902,-4.04E-05
-0.098146442,-4.03E-05
-0.089251958,-3.90E-05
-0.08066418,-3.81E-05
-0.07146299,-3.72E-05
-0.062568506,-3.64E-05
-0.053367316,-3.57E-05
-0.044472832,-3.52E-05
-0.035885054,-3.44E-05
-0.026683864,-3.40E-05
-0.017482674,-3.34E-05
-0.008281484,-3.30E-05
0.000306294,-3.24E-05
0.009200778,-3.21E-05
0.01901538,-3.17E-05
0.027603158,-3.13E-05
0.036804348,-3.11E-05
0.044778713,-3.06E-05
0.05428661,-3.04E-05
0.063794506,-3.00E-05
0.07268899,-2.98E-05
0.081583474,-2.94E-05
0.090477958,-2.92E-05
0.099372442,-2.88E-05
0.108880338,-2.86E-05
0.117774822,-2.83E-05
0.126055893,-2.81E-05
0.135257083,-2.78E-05
0.144458274,-2.76E-05
0.153352757,-2.73E-05
0.162553948,-2.71E-05
0.171448431,-2.68E-05
0.180649622,-2.67E-05
0.189237399,-2.63E-05
0.198131883,-2.62E-05
0.207333073,-2.58E-05
0.216227557,-2.57E-05
0.225428747,-2.53E-05
0.234936644,-2.52E-05
0.243524421,-2.48E-05
0.252418905,-2.47E-05
0.261620095,-2.45E-05
0.270514579,-2.41E-05
0.27879565,-2.39E-05
0.288303547,-2.35E-05
0.297504737,-2.33E-05
0.306399221,-2.30E-05
0.315293705,-2.25E-05
