Potential (V),Current (A)
0.998635431,3.27E-05
0.987594003,7.64E-06
0.976245868,4.38E-06
0.965511146,3.61E-06
0.954469718,3.00E-06
0.944041702,2.28E-06
0.93330698,6.08E-07
0.921345433,-2.17E-07
0.910610711,4.11E-07
0.899569283,4.36E-07
0.888834561,2.83E-07
0.877793133,6.52E-07
0.867058411,-6.15E-07
0.855710276,3.96E-07
0.845282261,3.07E-07
0.833320713,-4.89E-07
0.822892698,4.93E-08
0.811544563,3.10E-08
0.801116548,-1.12E-07
0.790075119,-8.57E-08
0.778726985,-1.31E-07
0.767992263,4.03E-07
0.756337422,-2.01E-07
0.745909407,1.83E-08
0.734254566,-4.69E-07
0.72382655,-3.62E-07
0.713091828,-5.70E-07
0.701743694,2.95E-07
0.691315678,-2.01E-07
0.679967543,-2.28E-08
0.668926115,-8.43E-07
0.657884687,1.04E-07
0.646843259,-4.39E-07
0.635495124,-5.31E-07
0.624760402,-1.82E-07
0.61402568,-1.08E-06
0.602677546,-2.01E-06
0.591636117,-7.66E-06
0.580594689,-1.11E-05
0.569859967,-1.49E-05
0.558818539,-1.95E-05
0.547470404,-2.59E-05
0.536735683,-3.30E-05
0.526000961,-4.23E-05
0.514959532,-5.20E-05
0.503918104,-6.28E-05
0.492876676,-7.33E-05
0.482141954,-8.27E-05
0.470793819,-9.13E-05
0.459752391,-9.69E-05
0.448710963,-1.00E-04
0.437976241,-1.01E-04
0.4263214,-9.95E-05
0.415893385,-9.64E-05
0.404851956,-9.26E-05
0.393503822,-8.88E-05
0.383075806,-8.48E-05
0.371420965,-8.10E-05
0.360686243,-7.71E-05
0.349644815,-7.36E-05
0.338910093,-7.05E-05
0.327868665,-6.77E-05
0.31652053,-6.54E-05
0.305785808,-6.32E-05
0.29474438,-6.14E-05
0.283702952,-5.97E-05
0.272661524,-5.82E-05
0.261926802,-5.65E-05
0.250885374,-5.49E-05
0.239537239,-5.38E-05
0.228802517,-5.29E-05
0.217454382,-5.16E-05
0.207026367,-5.05E-05
0.195678232,-4.99E-05
0.18494351,-4.87E-05
0.173595376,-4.81E-05
0.162553948,-4.70E-05
0.151512519,-4.65E-05
0.141084504,-4.57E-05
0.130043076,-4.53E-05
0.118694941,-4.46E-05
0.107960219,-4.41E-05
0.096918791,-4.34E-05
0.086184069,-4.29E-05
0.074835934,-4.23E-05
0.064407919,-4.18E-05
0.052753078,-4.12E-05
0.04171165,-4.10E-05
0.030670221,-4.04E-05
0.019628793,-4.01E-05
0.009507484,-3.98E-05
-0.002147357,-3.94E-05
-0.013802198,-3.92E-05
-0.024230214,-3.91E-05
-0.034964935,-3.87E-05
-0.046006364,-3.85E-05
-0.057047792,-3.88E-05
-0.067782514,-3.84E-05
-0.079744061,-3.86E-05
-0.090172077,-3.86E-05
-0.098453148,-3.86E-05
-0.087105013,-3.79E-05
-0.075756879,-3.72E-05
-0.065328863,-3.67E-05
-0.054594141,-3.60E-05
-0.043552713,-3.53E-05
-0.032511285,-3.48E-05
-0.021469856,-3.41E-05
-0.009815016,-3.34E-05
0.000919706,-3.31E-05
0.011961135,-3.27E-05
0.02238915,-3.22E-05
0.033737285,-3.19E-05
0.044778713,-3.16E-05
0.055513435,-3.11E-05
0.066861569,-3.12E-05
0.077596291,-3.08E-05
0.08863772,-3.03E-05
0.099372442,-3.03E-05
0.110720576,-2.99E-05
0.121762004,-2.94E-05
0.132496726,-2.93E-05
0.143844861,-2.93E-05
0.155192995,-2.90E-05
0.165621011,-2.88E-05
0.177275852,-2.85E-05
0.188010574,-2.82E-05
0.198131883,-2.80E-05
0.21009343,-2.78E-05
0.220828152,-2.76E-05
0.231562874,-2.73E-05
0.242297596,-2.73E-05
0.253645731,-2.71E-05
0.264380453,-2.67E-05
0.276035293,-2.65E-05
0.286770015,-2.61E-05
0.297811444,-2.58E-05
0.308546165,-2.53E-05
0.319587594,-2.51E-05
0.330629022,-2.48E-05
0.34167045,-2.44E-05
0.353018585,-2.40E-05
0.363753307,-2.32E-05
0.374794735,-2.21E-05
0.385529457,-2.09E-05
0.396570885,-1.90E-05
0.407305607,-1.68E-05
0.418347035,-1.39E-05
0.429388463,-1.00E-05
0.440429892,-4.67E-06
0.451778026,2.01E-07
0.463126161,1.04E-05
0.473554176,2.03E-05
0.484595605,3.10E-05
0.495943739,4.21E-05
0.506371755,5.29E-05
0.517719889,6.28E-05
0.528147905,7.08E-05
0.53949604,7.60E-05
0.550537468,7.87E-05
0.561885602,7.87E-05
0.572620324,7.69E-05
0.583968459,7.38E-05
0.594703181,6.98E-05
0.606051315,6.58E-05
0.616786037,6.18E-05
0.627520759,5.81E-05
0.638562187,5.45E-05
0.649603616,5.11E-05
0.660645044,4.78E-05
0.671686472,4.50E-05
0.6827279,4.23E-05
0.693462622,4.00E-05
0.704504051,3.79E-05
0.716158892,3.61E-05
0.726586907,3.45E-05
0.737935042,3.31E-05
0.748363057,3.18E-05
0.759711192,3.07E-05
0.770445914,2.95E-05
0.781794048,2.87E-05
0.792835477,2.80E-05
0.803570198,2.72E-05
0.814611627,2.61E-05
0.825959761,2.48E-05
0.83700119,2.37E-05
0.847429205,2.28E-05
0.85877734,2.22E-05
0.869818768,2.15E-05
0.880860196,2.09E-05
0.891288212,2.05E-05
0.903249759,1.98E-05
0.913677775,1.92E-05
0.924412496,1.87E-05
0.935453925,1.83E-05
0.946495353,1.81E-05
0.957536781,1.76E-05
0.968884916,1.73E-05
0.979619638,1.69E-05
0.990661066,1.64E-05
