Potential (V),Current (A)
0.79927631,1.19E-04
0.78670135,4.70E-05
0.774739802,3.21E-05
0.763084962,2.48E-05
0.750510002,2.02E-05
0.739161867,1.67E-05
0.727507026,1.44E-05
0.71462536,1.20E-05
0.702663813,1.07E-05
0.691315678,9.11E-06
0.678127305,8.05E-06
0.667085877,6.83E-06
0.654510917,5.79E-06
0.643162783,4.66E-06
0.631201235,3.41E-06
0.618932982,2.23E-06
0.606971434,4.67E-07
0.594703181,-1.73E-06
0.583355046,-4.46E-06
0.570780086,-8.67E-06
0.558818539,-1.37E-05
0.546550285,-2.03E-05
0.535202151,-2.86E-05
0.522933897,-3.83E-05
0.510665644,-4.94E-05
0.49839739,-6.09E-05
0.487355962,-7.19E-05
0.475394415,-8.22E-05
0.462819455,-9.02E-05
0.450857907,-9.53E-05
0.438589654,-9.72E-05
0.427548225,-9.64E-05
0.414973266,-9.34E-05
0.403011718,-8.90E-05
0.391050171,-8.43E-05
0.379088624,-7.96E-05
0.366513664,-7.54E-05
0.355165529,-7.15E-05
0.342897276,-6.82E-05
0.330935728,-6.52E-05
0.318667475,-6.26E-05
0.307012634,-6.04E-05
0.295051087,-5.82E-05
0.283089539,-5.64E-05
0.270821286,-5.48E-05
0.258553032,-5.35E-05
0.246898191,-5.20E-05
0.234936644,-5.07E-05
0.223588509,-4.96E-05
0.211320256,-4.87E-05
0.199052002,-4.79E-05
0.186783748,-4.70E-05
0.174822201,-4.62E-05
0.16316736,-4.53E-05
0.1505924,-4.47E-05
0.138630853,-4.41E-05
0.126669306,-4.34E-05
0.115014465,-4.29E-05
0.103359624,-4.23E-05
0.091398077,-4.17E-05
0.079129823,-4.15E-05
0.067474982,-4.07E-05
0.055206729,-4.04E-05
0.043245181,-4.01E-05
0.030976928,-3.96E-05
0.019322087,-3.95E-05
0.006747127,-3.92E-05
-0.004907714,-3.94E-05
-0.016869261,-3.93E-05
-0.028830809,-3.97E-05
-0.040792356,-4.00E-05
-0.052753903,-4.08E-05
-0.06471545,-4.15E-05
-0.076983704,-4.28E-05
-0.088945251,-4.37E-05
-0.100600092,-4.52E-05
-0.11256164,-4.63E-05
-0.125136599,-4.78E-05
-0.137098147,-4.91E-05
-0.148752988,-5.01E-05
-0.161021241,-5.10E-05
-0.172982789,-5.19E-05
-0.184944336,-5.25E-05
-0.196905883,-5.29E-05
-0.20886743,-5.31E-05
-0.220828978,-5.33E-05
-0.232790525,-5.33E-05
-0.244752072,-5.33E-05
-0.256713619,-5.32E-05
-0.268981873,-5.31E-05
-0.28094342,-5.29E-05
-0.292904967,-5.28E-05
-0.304866515,-5.27E-05
-0.317134768,-5.26E-05
-0.329096316,-5.26E-05
-0.340751157,-5.26E-05
-0.35301941,-5.29E-05
-0.364674251,-5.29E-05
-0.376635798,-5.32E-05
-0.389210758,-5.32E-05
-0.397491829,-5.22E-05
-0.385223576,-4.93E-05
-0.373875441,-4.75E-05
-0.3622206,-4.61E-05
-0.34964564,-4.48E-05
-0.337684093,-4.36E-05
-0.325722546,-4.26E-05
-0.313760999,-4.17E-05
-0.302106158,-4.08E-05
-0.289531198,-4.00E-05
-0.27756965,-3.92E-05
-0.265608103,-3.84E-05
-0.25333985,-3.78E-05
-0.241991715,-3.70E-05
-0.229110049,-3.63E-05
-0.217455208,-3.55E-05
-0.205493661,-3.49E-05
-0.193532113,-3.41E-05
-0.181570566,-3.34E-05
-0.169915725,-3.25E-05
-0.157954178,-3.18E-05
-0.145379218,-3.09E-05
-0.133724377,-2.99E-05
-0.12176283,-2.91E-05
-0.109801282,-2.82E-05
-0.097226322,-2.71E-05
-0.085571482,-2.61E-05
-0.073609934,-2.51E-05
-0.061955093,-2.42E-05
-0.049993546,-2.32E-05
-0.03711188,-2.22E-05
-0.025763745,-2.15E-05
-0.013495492,-2.06E-05
-0.001533944,-1.98E-05
0.010120897,-1.90E-05
0.022082444,-1.82E-05
0.03496411,-1.73E-05
0.046312245,-1.64E-05
0.058273792,-1.53E-05
0.070235339,-1.41E-05
0.08189018,-1.29E-05
0.094158434,-1.13E-05
0.106119981,-9.29E-06
0.118388235,-7.63E-06
0.130043076,-5.87E-06
0.142311329,-3.56E-06
0.154272876,-1.93E-06
0.166234424,-9.88E-08
0.178195971,1.32E-06
0.190157518,2.16E-06
0.202119065,2.87E-06
0.214387319,2.48E-06
0.226348866,1.50E-06
0.238310414,2.41E-07
0.249965255,-1.20E-06
0.261926802,-2.40E-06
0.273888349,-3.58E-06
0.28554319,-4.57E-06
0.297811444,-5.33E-06
0.310079697,-5.74E-06
0.322347951,-5.98E-06
0.333389379,-6.47E-06
0.345964339,-6.30E-06
0.358232593,-5.84E-06
0.369887434,-5.66E-06
0.381848981,-4.74E-06
0.393810528,-2.89E-06
0.406385488,-8.32E-07
0.418040329,2.23E-06
0.430001876,7.08E-06
0.441656717,1.29E-05
0.453924971,2.08E-05
0.466193224,3.06E-05
0.477848065,4.14E-05
0.489809612,5.35E-05
0.501464453,6.54E-05
0.514039413,7.67E-05
0.526000961,8.60E-05
0.537655802,9.22E-05
0.549924055,9.50E-05
0.561885602,9.41E-05
0.57384715,9.07E-05
0.586115403,8.52E-05
0.598076951,7.96E-05
0.610038498,7.41E-05
0.622000045,6.91E-05
0.633654886,6.50E-05
0.64592314,6.11E-05
0.657577981,5.80E-05
0.67015294,5.55E-05
0.681807781,5.30E-05
0.693769329,5.12E-05
