Potential (V),Current (A)
-0.006134539,-27.8551
-0.01778938,-27.622
-0.03036434,-27.6894
-0.042019181,-28.0391
-0.053674022,-28.2477
-0.065942276,-28.7875
-0.078210529,-29.131
-0.089558664,-29.8057
-0.10244033,-30.597
-0.113481759,-31.3577
-0.126363425,-32.4189
-0.137711559,-33.3758
-0.149673107,-34.2959
-0.16194136,-35.3387
-0.173902908,-36.2895
-0.185864455,-37.1421
-0.198132708,-37.9702
-0.209787549,-38.5591
-0.222055803,-39.1173
-0.23401735,-39.516
-0.245978897,-39.9761
-0.258247151,-40.2092
-0.269901992,-40.4484
-0.281863539,-40.6202
-0.29351838,-40.8533
-0.305786634,-40.9453
-0.318054887,-41.3379
-0.330016435,-41.4299
-0.341671276,-41.6385
-0.353939529,-42.1292
-0.366207783,-42.4543
-0.377862624,-42.669
-0.389824171,-43.1168
-0.397185123,-42.8775
-0.38491687,-40.6263
-0.373875441,-38.964
-0.360993775,-37.5286
-0.349032228,-36.3263
-0.336763974,-35.3571
-0.324802427,-34.529
-0.313147586,-33.6702
-0.301186039,-32.8544
-0.289531198,-32.0753
-0.27756965,-31.2288
-0.264994691,-30.5909
-0.253033143,-29.9161
-0.24076489,-29.2046
-0.229110049,-28.5605
-0.217455208,-27.8735
-0.204880248,-27.2723
-0.193225407,-26.616
-0.18126386,-25.9719
-0.1686889,-25.3278
-0.157340765,-24.5242
-0.145379218,-23.7575
-0.133417671,-22.9171
-0.121149417,-22.1381
-0.108881163,-21.3161
-0.097226322,-20.4021
-0.084958069,-19.5188
-0.072996522,-18.6355
-0.061034974,-17.7951
-0.049073427,-16.8382
-0.03711188,-16.0591
-0.025457039,-15.3537
-0.013188785,-14.6728
-0.001227238,-13.8601
0.010734309,-13.3988
0.022695856,-12.8939
0.034657404,-12.2486
0.046925657,-11.5291
0.058580498,-11.0733
0.071462165,-10.731
0.083117005,-10.5182
0.095078553,-9.9164
0.106733394,-9.5668
0.119308354,-9.3196
0.130963195,-9.3343
0.142924742,-9.3257
0.154886289,-9.1135
0.166847836,-8.9123
0.178809384,-9.2914
0.190770931,-9.3073
0.203039184,-9.1859
0.215000732,-9.7091
0.226655573,-9.7465
0.23861712,-10.0802
0.250578667,-10.179
0.262846921,-10.4231
0.274808468,-10.4605
0.286770015,-10.8169
0.298424856,-10.4832
0.310999816,-10.8519
0.322961363,-10.3575
0.334922911,-10.3869
0.346884458,-10.1833
0.358539299,-9.292
0.370807553,-9.1552
0.382462393,-8.0241
0.394730647,-6.6433
0.406998901,-5.26
0.418653742,-2.5616
0.431228702,0.1205
0.442883542,4.0332
0.455151796,8.9018
0.466806637,14.0797
0.478461478,20.6229
0.491036438,26.9104
0.502384572,33.5966
0.514959532,39.3934
0.526614373,44.6503
0.538882627,48.2817
0.551150881,50.8764
0.562499015,52.0113
0.574767269,52.275
0.586728816,51.2077
0.598383657,49.9134
0.610345204,48.3369
0.622613458,46.1164
0.634575005,44.1228
0.646843259,42.3193
0.6584981,40.43
0.670766353,38.4732
0.6827279,36.6759
0.694689448,35.1301
0.706650995,33.7254
0.718612542,32.3453
0.730574089,31.1675
0.74222893,29.9468
0.75480389,28.7936
0.767072144,27.714
0.779033691,26.8
0.790995238,25.886
0.797129365,24.5242
0.784861112,22.9232
0.773206271,21.7332
0.76155143,20.7395
0.748669764,19.8255
0.737321629,19.0158
0.725053375,18.2245
0.713398534,17.4884
0.700823575,16.7523
0.68947544,16.0407
0.67690048,15.366
0.664938933,14.6238
0.652363973,14.0232
0.641322545,13.2209
0.629360997,12.5467
0.616786037,11.7726
0.60482449,10.6544
0.592862943,9.8367
0.581208102,8.2019
0.569246555,6.4188
0.556978301,4.6583
0.544710047,1.8807
0.533055206,-0.2111
0.521093659,-5.8949
0.509132112,-10.5949
0.496863858,-15.8813
0.484902311,-21.9724
0.472634057,-28.1066
0.46067251,-33.9095
0.449017669,-39.0928
0.436442709,-43.4664
0.425094575,-46.969
0.413133027,-49.4656
0.40117148,-50.9317
0.38859652,-51.5205
0.376941679,-51.3488
0.365286838,-50.7599
0.353018585,-49.9809
0.341363744,-48.7172
0.328788784,-47.5272
0.316827237,-46.1961
0.305479102,-44.8527
0.292904142,-43.5768
0.280942595,-42.2457
0.26959446,-41.1355
0.257326207,-40.0313
0.245057953,-38.8474
0.232789699,-38.0193
0.221134859,-36.8845
0.208866605,-36.1607
0.197211764,-35.1976
0.18494351,-34.5781
0.172981963,-33.6027
0.161327122,-33.1611
0.148445456,-32.2778
0.137097321,-31.8852
0.124829068,-31.1307
0.113480933,-30.7074
0.100905973,-30.229
0.089251132,-29.6278
0.077289585,-29.3763
0.065634744,-28.8365
0.053673197,-28.4133
0.041098237,-28.2538
0.029443396,-27.8857
0.017175142,-27.4748
0.004906889,-27.303
-0.007054659,-27.3091
-0.019322912,-27.3091
-0.030977753,-27.4011
-0.042632594,-27.579
-0.054900848,-27.8735
-0.066862395,-28.585
-0.078823942,-29.2046
-0.090785489,-29.9223
-0.103053743,-30.9344
-0.114708584,-31.738
-0.126670131,-32.6704
-0.138631678,-33.5659
-0.151206638,-34.4799
-0.162554773,-35.2774
-0.174823027,-36.1423
-0.186784574,-36.9704
-0.198746121,-37.5347
-0.210707668,-38.0132
-0.222669216,-38.326
-0.234630763,-38.921
-0.246899016,-39.2093
-0.258860564,-39.1848
-0.270822111,-39.3136
-0.283090365,-39.559
-0.294745206,-39.4854
-0.307013459,-39.6878
-0.318361594,-39.9454
-0.33124326,-39.8289
-0.343204807,-40.3012
-0.354859648,-40.3932
-0.367127902,-40.9269
-0.378782743,-41.1293
-0.39074429,-41.6507
-0.39657171,-40.8165
-0.383996751,-39.0805
-0.372035203,-37.3446
-0.360380362,-36.222
-0.347805402,-34.9768
-0.336150561,-34.0567
-0.324495721,-33.247
-0.312227467,-32.3023
-0.300572626,-31.646
-0.287997666,-31.0448
-0.276036119,-30.2167
-0.263767865,-29.6278
-0.252113024,-29.0758
-0.239844771,-28.3949
-0.228496636,-27.8183
-0.216228382,-27.1312
-0.203653423,-26.5178
-0.192305288,-25.9167
-0.180650447,-25.2542
-0.168075487,-24.6715
-0.155807233,-23.8556
-0.144152393,-23.1379
-0.132190845,-22.408
-0.120229298,-21.8252
-0.108574457,-20.9296
-0.096306203,-19.9298
-0.084651363,-19.255
-0.072383109,-18.5741
-0.060114855,-17.5007
-0.048153308,-16.9179
-0.036498467,-15.961
-0.023923507,-15.4028
-0.012268666,-14.6054
-4.13E-07,-13.819
0.011961135,-13.5024
0.023615976,-12.7798
0.035884229,-12.056
0.04753907,-11.4954
0.059807324,-11.0341
0.072075577,-10.5814
0.083730418,-10.2299
0.095691965,-9.733
0.107653513,-9.4472
0.119921766,-9.2539
0.131269901,-8.9791
0.143844861,-8.9117
0.155192995,-8.6878
0.167767955,-8.6099
0.180036209,-8.5755
0.191384344,-8.4915
0.203959304,-8.5363
0.215614144,-8.5945
0.227882398,-8.7632
0.239843945,-8.8368
0.251498786,-9.0951
0.263153627,-9.2404
0.275728587,-9.5128
0.287690134,-9.6465
0.299038269,-9.741
0.311613229,-9.8066
0.323881482,-9.8956
0.336149736,-9.714
0.347804577,-9.4441
0.359766124,-8.9926
0.371727672,-8.5019
0.383689219,-7.5327
0.395650766,-6.2691
0.406998901,-4.4325
0.419573861,-2.0365
0.431535408,0.0201
0.443496955,4.9441
0.455458502,9.6981
0.468033462,15.2807
0.47999501,21.4756
0.491649851,28.0514
0.503304691,34.4799
0.515266239,40.3932
0.527534492,45.4968
0.539189333,49.3122
0.551764293,51.6003
0.56372584,52.7228
0.575380681,52.7167
0.587648935,52.1462
0.599917189,50.5207
0.61157203,48.6498
0.623840283,46.9199
0.635495124,44.8098
0.647456671,42.6383
0.659418219,40.8287
0.671379766,39.0314
0.683648019,37.0379
0.695609567,35.7681
0.707571114,34.0628
0.719532661,32.7869
0.730880796,31.5417
0.743455756,30.2351
0.756030716,29.2291
0.767685557,28.1863
0.779647104,27.1128
0.790995238,26.3706
0.796515953,24.7512
0.783940993,23.414
0.772286152,22.0706
0.760017898,21.1075
0.748056351,20.0034
0.735788097,19.4329
0.72382655,18.4392
0.712171709,17.6295
0.700210162,17.1326
0.688248615,16.3659
0.675980361,15.55
0.663712107,14.8569
0.652363973,14.2986
0.640095719,13.5442
0.628440878,12.8332
0.615865918,11.9769
0.604211077,10.9194
0.592862943,9.7692
0.580287983,8.2835
0.568019729,6.6445
0.556364888,4.3184
0.543789928,1.5513
0.532441794,-0.958
0.520480247,-6.1262
0.507905287,-11.1347
0.495943739,-17.0271
0.484595605,-23.0398
0.472020645,-28.9715
0.460059098,-34.7498
0.447790844,-40.2644
0.436442709,-44.3191
0.424174456,-47.7542
0.411906202,-50.2385
0.399637949,-51.3672
0.388289814,-51.864
0.376634973,-51.8211
0.363753307,-50.9501
0.352405172,-50.1097
0.340136919,-48.9013
0.328175371,-47.4352
0.315907118,-45.9814
0.30394557,-44.8282
0.292290729,-43.5768
0.280022476,-42.123
0.268367635,-40.9024
0.256099381,-39.8473
0.244137834,-38.7063
0.232482993,-37.7371
0.22021474,-36.8109
0.207946486,-35.8908
0.196291645,-35.124
0.184330098,-34.3572
0.17236855,-33.5905
0.160407003,-32.8851
0.148445456,-32.3207
0.136177202,-31.6644
0.124215655,-31.1123
0.111947401,-30.6216
0.100292561,-30.0388
0.08863772,-29.6646
0.07606276,-29.2475
0.064101212,-28.628
0.052753078,-28.4194
0.040791531,-27.9103
0.028216571,-27.8367
0.01656173,-27.7079
0.004293476,-27.1742
-0.007668071,-27.3091
-0.019936325,-27.487
-0.032204578,-27.2171
-0.043552713,-27.4932
-0.05551426,-28.1556
-0.067782514,-28.7138
-0.080050767,-29.5113
-0.091705608,-30.3149
-0.103667156,-31.1859
-0.115935409,-32.0753
-0.127283544,-32.8728
-0.139551797,-33.7377
-0.151206638,-34.7682
-0.163781598,-35.4062
-0.175436439,-36.357
-0.187704693,-36.6698
-0.199359534,-37.4918
-0.211934494,-37.7433
-0.223589335,-38.277
-0.235550882,-38.4978
-0.247512429,-38.3996
-0.259780683,-38.737
-0.27174223,-38.8106
-0.283703777,-38.7554
-0.295051912,-38.964
-0.307933578,-39.0192
-0.319895125,-39.0069
-0.33124326,-39.3136
-0.34381822,-39.5528
-0.355473061,-39.7001
-0.367434608,-39.8964
-0.379702862,-40.338
-0.391664409,-40.8287
-0.395038179,-40.062
-0.383076631,-38.1052
-0.370808378,-36.7005
-0.359460243,-35.4675
-0.34719199,-34.4309
-0.335230442,-33.4371
-0.323268895,-32.6458
-0.311000642,-31.8545
-0.299039094,-31.1798
-0.287077547,-30.4314
-0.275422706,-29.6401
-0.263154453,-29.2107
-0.251192905,-28.6218
-0.239538064,-27.8673
-0.227269811,-27.53
-0.215308263,-26.6896
-0.203346716,-26.2418
-0.191078463,-25.4812
-0.179116915,-25.1315
-0.167462074,-24.2605
-0.155500527,-23.782
-0.144152393,-23.1195
-0.130657314,-22.1074
-0.119002473,-21.6596
-0.107040925,-21.0094
-0.095692791,-19.8255
-0.083424537,-19.0403
-0.071156284,-18.4269
-0.059501443,-17.7828
-0.047233189,-16.8198
-0.034964935,-16.0407
-0.023310095,-15.2985
-0.011348547,-14.6544
0.000613,-13.9981
0.012574547,-13.3374
0.024229388,-12.7872
0.036497642,-12.2186
0.048459189,-11.6929
0.060727443,-11.1917
0.072382284,-10.6985
0.084343831,-10.2004
0.096305378,-9.9042
0.108573632,-9.4993
0.120228473,-9.2122
0.132496726,-8.8693
0.144458274,-8.7368
0.156726527,-8.3964
0.168688074,-8.397
0.180342915,-8.2191
0.192917875,-8.1572
0.20426601,-8.1792
0.216227557,-8.1467
0.228802517,-8.3406
0.240764064,-8.4541
0.252418905,-8.6111
0.264380453,-8.7215
0.276342,-8.8853
0.28891696,-8.9595
0.300878507,-9.1368
0.311919935,-9.1435
0.324494895,-9.111
0.336456442,-9.0006
0.348724696,-8.8411
0.360379537,-8.4099
0.372954497,-7.8229
0.384609338,-6.88
0.396570885,-5.5238
0.408839139,-3.797
0.420800686,-1.325
0.432148821,0.8707
0.444110368,5.3385
0.456378621,9.998
0.468340169,15.6408
0.480301716,22.2485
0.492263263,28.8549
0.50422481,35.0872
0.516493064,41.1293
0.528454611,46.2452
0.540416159,49.7355
0.552684412,52.3793
0.564032547,53.3914
0.5763008,53.2197
0.587955641,52.4959
0.599917189,50.8151
0.612798855,49.208
0.624146989,46.9813
0.636721949,45.141
0.64837679,42.8039
0.660338338,41.1845
0.672299885,39.0867
0.684261432,37.6819
0.696222979,35.8601
0.708184527,34.5965
0.720759487,32.9832
0.732721034,31.8361
0.744069168,30.4866
0.756337422,29.4561
0.768298969,28.3519
0.780260517,27.4318
0.791915358,26.573
0.795289127,25.0702
0.782714167,23.6655
0.77075262,22.3037
0.759097779,21.267
0.747442938,20.4144
0.735481391,19.6108
0.722906431,18.5741
0.711558296,17.8258
0.699596749,17.0958
0.687021789,16.4885
0.675366948,15.9365
0.663405401,15.1942
0.651443854,14.3355
0.639482306,13.3908
0.627214053,12.6081
0.614945799,11.7499
0.603290958,10.8862
0.591329411,9.8551
0.57967457,8.5068
0.567713023,6.6788
0.555751476,4.2927
0.543483222,1.0045
0.530908262,-1.358
0.519560127,-7.0033
0.507291874,-12.064
0.49502362,-17.4755
0.483675486,-23.7145
0.471407232,-30.045
0.459138978,-35.6699
0.447177431,-40.9637
0.43552259,-45.3067
0.42294763,-48.2756
0.410986083,-50.7599
0.399331242,-51.6309
0.387676401,-52.1646
0.375408148,-51.907
0.3634466,-50.9439
0.351485053,-50.1894
0.339216799,-48.6314
0.327255252,-47.4291
0.315907118,-46.0673
0.303332158,-44.5276
0.29137061,-43.3499
0.279409063,-41.8286
0.267754222,-40.8042
0.255485969,-39.743
0.243831128,-38.461
0.231562874,-37.6083
0.219294621,-36.7434
0.20763978,-35.6945
0.195371526,-35.0075
0.183409979,-34.026
0.171448431,-33.4678
0.159486884,-32.7072
0.147832043,-32.0999
0.135257083,-31.5785
0.123908949,-31.0694
0.111640695,-30.5173
0.099372442,-29.9407
0.087410894,-29.591
0.075756053,-28.9899
0.063794506,-28.585
0.051526252,-28.2293
0.039257999,-27.9103
0.027603158,-27.7385
0.015334904,-27.3889
0.003373357,-27.1864
-0.00858819,-27.1251
-0.020549737,-27.2294
-0.032511285,-27.211
-0.044166126,-27.6833
-0.056434379,-28.1679
-0.068395927,-28.5482
-0.08066418,-29.5358
-0.092625727,-30.2412
-0.104280568,-31.1368
-0.116548822,-32.2103
-0.128510369,-32.8912
-0.140471916,-33.9463
-0.152126757,-34.5842
-0.164701717,-35.5534
-0.176663265,-35.946
-0.188011399,-36.5778
-0.200586359,-37.2096
-0.2122412,-37.6267
-0.22481616,-37.8844
-0.236164295,-38.05
-0.248432548,-38.05
-0.260700802,-38.0868
-0.272048936,-38.4487
-0.28431719,-38.277
-0.295972031,-38.4671
-0.308240285,-38.3322
-0.319895125,-38.3751
-0.332163379,-38.7922
-0.344124926,-38.8352
-0.35639318,-38.8904
-0.368354727,-39.2093
-0.380009568,-39.6265
-0.392584528,-40.0681
-0.39411806,-39.0314
-0.382463219,-37.3384
-0.370194965,-35.9214
-0.358233418,-34.7498
-0.346271871,-33.7684
-0.334310323,-32.7256
-0.322655482,-31.9588
-0.310693935,-31.2595
-0.298732388,-30.505
-0.286770841,-30.0818
-0.274502587,-29.2598
-0.26254104,-28.677
-0.250886199,-28.2538
-0.238311239,-27.3889
-0.226349692,-26.8368
-0.215001557,-26.5546
-0.202426597,-25.9412
-0.19046505,-25.3278
-0.178503503,-24.6285
-0.167155368,-23.9722
-0.154580408,-23.3281
-0.142312154,-22.6779
-0.130657314,-21.9602
-0.11838906,-21.267
-0.106427513,-20.5248
-0.094772672,-19.7274
-0.082811125,-18.9238
-0.070849577,-18.2674
-0.058581324,-17.5559
-0.046619776,-16.8504
-0.034658229,-16.1634
-0.022389976,-15.3844
-0.010121722,-14.6912
0.001839825,-14.1269
0.01318796,-13.887
0.025456214,-13.481
0.037724467,-12.8829
0.049686014,-12.0671
0.061034149,-11.4653
0.073609109,-11.1267
0.085570656,-10.758
0.097532203,-10.5102
0.108880338,-10.0661
0.121455298,-9.6294
0.133723552,-9.3282
0.145378393,-9.1116
0.157033233,-8.9288
0.169301487,-8.616
0.181569741,-8.4866
0.192917875,-8.1424
0.205492835,-8.0731
0.217454382,-7.9609
0.22941593,-8.0486
0.241377477,-8.3939
0.253339024,-8.6399
0.265300572,-8.6068
0.277568825,-8.5731
0.289223666,-8.416
0.302105332,-8.5191
0.313453467,-8.7074
0.325415014,-8.7166
0.337376561,-8.505
0.349031402,-8.1934
0.36099295,-7.7486
0.37356791,-7.1929
0.385529457,-6.4832
0.397184298,-4.9607
0.409452551,-3.2173
0.421414099,-1.1974
0.433375646,2.01
0.4456439,6.2826
0.45729874,10.7237
0.469566994,16.3928
0.481528541,23.0275
0.493490089,29.4438
0.50514493,35.9644
0.517413183,42.0188
0.529681437,46.785
0.541029571,50.6495
0.553604531,52.8087
0.565259372,53.8638
0.576914213,53.7472
0.589182467,52.8455
0.600837308,51.2997
0.613412268,49.5208
0.625373815,47.3739
0.637335362,45.3864
0.648990203,43.4235
0.66095175,41.2888
0.67352671,39.4854
0.685181551,37.8966
0.696836392,36.0687
0.708797939,34.5719
0.721679606,33.3758
0.733641153,31.9711
0.7456027,30.8424
0.756950835,29.8487
0.769219088,28.6525
0.781180636,27.8551
0.793142183,26.9534
0.794675715,25.2481
0.783020874,23.874
0.77075262,22.3589
0.75817766,21.5921
0.746522819,20.5616
0.734867978,19.6415
0.722599725,18.8072
0.710638177,18.0834
0.698063217,17.4393
0.686408377,16.7278
0.674753536,15.8444
0.662178576,15.1329
0.650523735,14.4213
0.638868894,13.8834
0.62660064,13.1141
0.614945799,12.2952
0.602064133,11.3211
0.590102586,10.1833
0.578141038,8.5755
0.566792904,6.6083
0.55452465,4.1608
0.542563103,1.0649
0.530294849,-2.5408
0.518640008,-7.172
0.506065049,-12.4455
0.494410208,-18.2668
0.482755367,-24.5058
0.470487113,-30.6829
0.458525566,-36.6085
0.446564019,-41.6016
0.434602471,-45.6318
0.42294763,-48.6682
0.41037267,-50.9378
0.398717829,-52.091
0.386756282,-52.1217
0.374488029,-51.9745
0.362833188,-51.0298
0.350564934,-49.9011
0.338603387,-48.613
0.326948546,-47.2757
0.314986999,-45.779
0.302718745,-44.4479
0.290757198,-43.2395
0.278488944,-41.6875
0.266527397,-40.4607
0.25456585,-39.332
0.24199089,-38.3138
0.230642755,-37.4672
0.218681208,-36.5594
0.206719661,-35.6086
0.194144701,-34.7928
0.182183153,-34.0935
0.170835019,-33.2347
0.158566765,-32.517
0.147218631,-32.0324
0.134950377,-31.4558
0.122682123,-30.8608
0.110720576,-30.3394
0.098759029,-29.8793
0.086184069,-29.223
0.074222522,-28.7691
0.062260974,-28.401
0.05091284,-28.0575
0.038644586,-27.898
0.026376333,-27.5668
0.013801373,-27.2355
0.002759944,-26.9963
-0.009815016,-27.0147
-0.021469856,-27.0883
-0.033431404,-27.2049
-0.045086245,-27.4257
-0.057661205,-28.1188
-0.069009339,-28.7752
-0.081584299,-29.3027
-0.093545846,-30.3885
-0.105200687,-31.2779
-0.117162235,-31.9588
-0.129737195,-32.9525
-0.141392035,-33.8849
-0.153353583,-34.5719
-0.165621836,-35.216
-0.177276677,-35.8601
-0.189851637,-36.5349
-0.201199772,-36.9458
-0.213161319,-37.2526
-0.225429573,-37.363
-0.237697826,-37.4366
-0.249045961,-37.4795
-0.261314214,-37.6942
-0.273275762,-37.6819
-0.285237309,-37.8046
-0.29689215,-37.7249
-0.30946711,-37.8046
-0.321121951,-37.9334
-0.333390204,-38.1113
-0.344738339,-38.3076
-0.357006593,-38.5039
-0.369274846,-38.9088
-0.381236393,-39.2461
-0.392891234,-39.4976
-0.393197941,-38.2401
-0.3815431,-36.5839
-0.369581553,-35.3694
-0.357313299,-34.0505
-0.345965164,-33.1182
-0.333696911,-32.4373
-0.321735363,-31.4497
-0.30946711,-30.8853
-0.297505563,-30.1063
-0.285850722,-29.6033
-0.273275762,-28.7507
-0.261314214,-28.1863
-0.249659374,-27.8121
-0.238004533,-27.1435
-0.225736279,-26.481
-0.213468025,-25.9903
-0.201813184,-25.3892
-0.189851637,-24.9598
-0.177583384,-24.3954
-0.165928543,-23.7575
-0.153660289,-23.0091
-0.141085329,-22.457
-0.129737195,-21.7393
-0.117775647,-21.083
-0.105507394,-20.3592
-0.093852553,-19.6537
-0.081891005,-18.7275
-0.070542871,-17.9914
-0.057661205,-17.3412
-0.045086245,-16.5744
-0.033431404,-15.8997
-0.022083269,-15.5868
-0.009508309,-14.7648
0.002146532,-14.4643
0.014414785,-13.6263
0.025456214,-13.5006
0.038031173,-13.0553
0.050299427,-12.3124
0.061954268,-11.726
0.074529228,-11.2862
0.086184069,-10.8813
0.098145616,-10.7948
0.11041387,-10.3151
0.122068711,-9.8508
0.134643671,-9.6496
0.145991805,-9.0417
0.158873472,-9.0988
0.170528312,-8.9374
0.181876447,-8.3866
0.193837994,-8.175
0.206106248,-8.0707
0.218374501,-8.0241
0.229722636,-7.9492
0.242297596,-8.04
0.254259143,-8.0627
0.266220691,-8.3111
0.278182238,-8.4823
0.290143785,-8.4884
0.302718745,-8.4099
0.31406688,-8.194
0.32664184,-8.0541
0.33829668,-8.1676
0.350258228,-8.167
0.362219775,-7.356
0.374488029,-6.5114
