Potential (V),Current (A),
-0.020549737,-3.21E-05,
-0.009508309,-3.17E-05,
0.001533119,-3.12E-05,
0.012267841,-3.08E-05,
0.023309269,-3.04E-05,
0.03496411,-2.99E-05,
0.045698832,-2.96E-05,
0.05674026,-2.94E-05,
0.067474982,-2.92E-05,
0.078823117,-2.90E-05,
0.089557839,-2.88E-05,
0.100292561,-2.82E-05,
0.111640695,-2.80E-05,
0.122375417,-2.80E-05,
0.133416845,-2.79E-05,
0.144458274,-2.73E-05,
0.155499702,-2.71E-05,
0.166847836,-2.71E-05,
0.177889265,-2.69E-05,
0.188010574,-2.65E-05,
0.199052002,-2.63E-05,
0.210400137,-2.63E-05,
0.221441565,-2.60E-05,
0.232176287,-2.56E-05,
0.243524421,-2.55E-05,
0.25456585,-2.54E-05,
0.265913984,-2.50E-05,
0.276342,-2.46E-05,
0.287690134,-2.47E-05,
0.298424856,-2.45E-05,
0.309772991,-2.40E-05,
0.320201006,-2.39E-05,
0.331549141,-2.37E-05,
0.342590569,-2.30E-05,
0.353631997,-2.23E-05,
0.364060013,-2.18E-05,
0.375408148,-2.08E-05,
0.386756282,-1.93E-05,
0.397491004,-1.74E-05,
0.408225726,-1.52E-05,
0.419573861,-1.25E-05,
0.430308583,-7.78E-06,
0.441656717,-1.88E-06,
0.452391439,2.01E-07,
0.463126161,1.26E-05,
0.474474295,2.29E-05,
0.485515724,3.39E-05,
0.497170565,4.53E-05,
0.50759858,5.60E-05,
0.518333302,6.57E-05,
0.529681437,7.34E-05,
0.540416159,7.85E-05,
0.551150881,8.09E-05,
0.562499015,8.06E-05,
0.573540443,7.83E-05,
0.584888578,7.47E-05,
0.595316593,7.07E-05,
0.606358022,6.67E-05,
0.61739945,6.26E-05,
0.628440878,5.86E-05,
0.638868894,5.47E-05,
0.650523735,5.13E-05,
0.66095175,4.82E-05,
0.672606591,4.55E-05,
0.683034607,4.28E-05,
0.694382741,4.08E-05,
0.705730876,3.91E-05,
0.716158892,3.74E-05,
0.727813732,3.55E-05,
0.738241748,3.44E-05,
0.749283176,3.33E-05,
0.760324604,3.20E-05,
0.771366033,3.11E-05,
0.783020874,3.02E-05,
0.793448889,2.90E-05,
0.804490317,2.80E-05,
0.815531746,2.71E-05,
0.82687988,2.59E-05,
0.837307896,2.46E-05,
0.848349324,2.36E-05,
0.859084046,2.30E-05,
0.869818768,2.22E-05,
0.881780315,2.14E-05,
0.892515037,2.08E-05,
0.903556465,2.04E-05,
0.914291187,1.99E-05,
0.925946028,1.95E-05,
0.93668075,1.89E-05,
0.947415472,1.85E-05,
0.958150194,1.82E-05,
0.969191622,1.78E-05,
0.980539757,1.73E-05,
0.991887891,1.71E-05,
0.997101899,1.59E-05,
0.986367177,1.46E-05,
0.974712336,1.34E-05,
0.964591027,1.28E-05,
0.953549599,1.21E-05,
0.941894758,1.20E-05,
0.931466742,1.20E-05,
0.920118608,1.18E-05,
0.909383886,1.13E-05,
0.898342458,1.04E-05,
0.886994323,9.84E-06,
0.876259601,9.59E-06,
0.865218173,9.43E-06,
0.854483451,9.74E-06,
0.843135316,9.92E-06,
0.832707301,9.61E-06,
0.821359166,8.82E-06,
0.810317738,7.96E-06,
0.79927631,7.86E-06,
0.788541588,8.07E-06,
0.77750016,8.33E-06,
0.766152025,8.23E-06,
0.75480389,7.78E-06,
0.744375875,7.84E-06,
0.73302774,7.34E-06,
0.722293018,6.81E-06,
0.710944884,6.24E-06,
0.700516868,6.15E-06,
0.689168734,6.07E-06,
0.678434012,6.34E-06,
0.66769929,6.13E-06,
0.656351155,5.85E-06,
0.645616433,4.86E-06,
0.634268299,3.79E-06,
0.623533577,2.64E-06,
0.612185442,-6.92E-08,
0.601144014,4.11E-08,
0.590102586,-1.01E-06,
0.579367864,-1.82E-06,
0.567713023,-9.85E-06,
0.557285007,-1.50E-05,
0.546550285,-2.08E-05,
0.535508857,-2.88E-05,
0.524467429,-3.85E-05,
0.513119294,-4.89E-05,
0.502384572,-5.98E-05,
0.491343144,-7.02E-05,
0.480608422,-7.98E-05,
0.469260288,-8.76E-05,
0.458218859,-9.36E-05,
0.447484138,-9.68E-05,
0.436442709,-9.77E-05,
0.425094575,-9.62E-05,
0.41374644,-9.33E-05,
0.403318425,-8.93E-05,
0.392276996,-8.47E-05,
0.380928862,-7.96E-05,
0.370500846,-7.45E-05,
0.359152712,-7.06E-05,
0.34841799,-6.76E-05,
0.337683268,-6.48E-05,
0.326335133,-6.22E-05,
0.314986999,-5.98E-05,
0.304558983,-5.78E-05,
0.293517555,-5.60E-05,
0.282476127,-5.43E-05,
0.271434698,-5.30E-05,
0.26039327,-5.16E-05,
0.249045136,-5.02E-05,
0.237697001,-4.91E-05,
0.226962279,-4.78E-05,
0.216534263,-4.69E-05,
0.205492835,-4.61E-05,
0.194451407,-4.55E-05,
0.182796566,-4.46E-05,
0.172061844,-4.36E-05,
0.161633829,-4.32E-05,
0.1505924,-4.24E-05,
0.139244266,-4.19E-05,
0.128202837,-4.10E-05,
0.117468116,-4.08E-05,
0.106426687,-3.99E-05,
0.095998672,-3.97E-05,
0.084343831,-3.88E-05,
0.073302403,-3.87E-05,
0.062260974,-3.79E-05,
0.051219546,-3.79E-05,
0.040178118,-3.72E-05,
0.029443396,-3.71E-05,
0.018401968,-3.64E-05,
0.007360539,-3.65E-05,
-0.003987595,-3.59E-05,
-0.015029023,-3.59E-05,
-0.025763745,-3.57E-05,
-0.036191761,-3.54E-05,
-0.047539895,-3.57E-05,
-0.058274617,-3.57E-05,
-0.069929458,-3.58E-05,
-0.080970886,-3.62E-05,
-0.091705608,-3.66E-05,
-0.097226322,-3.66E-05,
-0.085878188,-3.56E-05,
-0.074223347,-3.47E-05,
-0.063795331,-3.38E-05,
-0.052753903,-3.30E-05,
-0.042019181,-3.22E-05,
-0.030671047,-3.15E-05,
-0.019322912,-3.10E-05,
-0.009201603,-3.04E-05,
0.002453238,-3.02E-05,
0.01318796,-2.99E-05,
0.024229388,-2.93E-05,
0.035270816,-2.88E-05,
0.046312245,-2.87E-05,
0.057353673,-2.83E-05,
0.068088395,-2.80E-05,
0.079436529,-2.79E-05,
0.090171251,-2.73E-05,
0.100905973,-2.73E-05,
0.112560814,-2.69E-05,
0.123602242,-2.66E-05,
0.134336964,-2.68E-05,
0.145071686,-2.62E-05,
0.156113114,-2.61E-05,
0.166847836,-2.61E-05,
0.178502677,-2.58E-05,
0.189237399,-2.52E-05,
0.200278827,-2.53E-05,
0.211013549,-2.51E-05,
0.222054978,-2.49E-05,
0.233403112,-2.45E-05,
0.244137834,-2.45E-05,
0.255179262,-2.43E-05,
0.266527397,-2.39E-05,
0.277262119,-2.38E-05,
0.288303547,-2.37E-05,
0.299038269,-2.35E-05,
0.310079697,-2.29E-05,
0.320814419,-2.25E-05,
0.332162554,-2.23E-05,
0.342897276,-2.19E-05,
0.353938704,-2.13E-05,
0.364980132,-2.03E-05,
0.376328267,-1.95E-05,
0.387369695,-1.79E-05,
0.398104417,-1.66E-05,
0.408839139,-1.39E-05,
0.420187273,-1.12E-05,
0.431535408,-6.04E-06,
0.442576836,-8.30E-07,
0.453311558,1.61E-06,
0.46404628,1.46E-05,
0.475701121,2.51E-05,
0.486129136,3.57E-05,
0.497477271,4.75E-05,
0.508211993,5.79E-05,
0.519866834,6.80E-05,
0.530294849,7.50E-05,
0.541029571,8.01E-05,
0.552071,8.20E-05,
0.563419134,8.14E-05,
0.574153856,7.87E-05,
0.585501991,7.51E-05,
0.596236713,7.10E-05,
0.607278141,6.63E-05,
0.618319569,6.26E-05,
0.629360997,5.89E-05,
0.640095719,5.49E-05,
0.651443854,5.17E-05,
0.662178576,4.90E-05,
0.673220004,4.63E-05,
0.684261432,4.38E-05,
0.695609567,4.20E-05,
0.706344289,4.00E-05,
0.717385717,3.87E-05,
0.727813732,3.72E-05,
0.739161867,3.57E-05,
0.749896589,3.41E-05,
0.761244724,3.31E-05,
0.772286152,3.20E-05,
0.78332758,3.11E-05,
0.794369008,3.01E-05,
0.805410436,2.90E-05,
0.816145158,2.74E-05,
0.82687988,2.60E-05,
0.838228015,2.52E-05,
0.849576149,2.44E-05,
0.860004165,2.36E-05,
0.8713523,2.27E-05,
0.882700434,2.24E-05,
0.89312845,2.20E-05,
0.904169878,2.13E-05,
0.915211306,2.07E-05,
0.926559441,2.04E-05,
0.937600869,2.02E-05,
0.947722178,1.99E-05,
0.959377019,1.94E-05,
0.970418447,1.88E-05,
0.980846463,1.88E-05,
0.992194598,1.86E-05,
0.99618178,1.68E-05,
0.985753764,1.55E-05,
0.97440563,1.49E-05,
0.963364202,1.43E-05,
0.95262948,1.31E-05,
0.941588051,1.27E-05,
0.930546623,1.32E-05,
0.919505195,1.18E-05,
0.90815706,1.12E-05,
0.897422339,1.18E-05,
0.886687617,1.10E-05,
0.875952895,1.06E-05,
0.864298054,1.08E-05,
0.853563332,1.02E-05,
0.842521904,1.02E-05,
0.831480475,1.05E-05,
0.820439047,9.39E-06,
0.809397619,1.02E-05,
0.798969603,8.89E-06,
0.787621469,9.23E-06,
0.776580041,9.41E-06,
0.765231906,8.61E-06,
0.754497184,8.84E-06,
0.743455756,8.59E-06,
0.732414328,7.81E-06,
0.721372899,8.26E-06,
0.710331471,8.35E-06,
0.698983336,7.17E-06,
0.688862027,6.67E-06,
0.677207186,6.76E-06,
0.666472464,7.04E-06,
0.655431036,6.33E-06,
0.644696314,5.23E-06,
0.633654886,4.59E-06,
0.622306751,3.75E-06,
0.61157203,3.25E-06,
0.600530601,2.98E-07,
0.589489173,-4.51E-07,
0.578447745,-1.00E-06,
0.567406317,-8.67E-06,
0.556364888,-1.33E-05,
0.54532346,-2.01E-05,
0.534588738,-2.84E-05,
0.522933897,-3.79E-05,
0.512199175,-4.84E-05,
0.501157747,-5.90E-05,
0.490729732,-6.99E-05,
0.479688303,-7.97E-05,
0.468033462,-8.74E-05,
0.457605447,-9.25E-05,
