Potential (V),Current (A),
-0.317134768368048,-5.87E-05,-58.6913252460517
-0.328789609292744,-5.88E-05,-58.7526665140764
-0.340751156557565,-5.87E-05,-58.734264133669
-0.353326116502632,-5.88E-05,-58.8078736552987
-0.365287663767452,-5.87E-05,-58.7281300068666
-0.376635798352026,-5.87E-05,-58.6851911192492
-0.388597345616846,-5.87E-05,-58.734264133669
-0.398105242160677,-5.78E-05,-57.7528038452735
-0.385836988555734,-5.52E-05,-55.2439459830625
-0.373875441290913,-5.35E-05,-53.4773174639506
-0.361913894026093,-5.20E-05,-51.9928587777523
-0.349952346761273,-5.06E-05,-50.5820096131838
-0.337377386816205,-4.94E-05,-49.3674525062943
-0.325722545891508,-4.81E-05,-48.1038223849851
-0.314374411306935,-4.70E-05,-46.9506065461204
-0.302106157701991,-4.58E-05,-45.8096589608606
-0.290144610437171,-4.47E-05,-44.7116502632181
-0.277876356832227,-4.35E-05,-43.5461661707485
-0.265608103227283,-4.24E-05,-42.3622796978714
-0.253953262302586,-4.12E-05,-41.2458686198215
-0.241991715037766,-4.00E-05,-40.0129091325246
-0.230030167772946,-3.88E-05,-38.7615472648203
-0.217761914168002,-3.75E-05,-37.4611123826963
-0.205493660563058,-3.63E-05,-36.2649576562142
-0.193225406958114,-3.49E-05,-34.9031815060655
-0.182490685053788,-3.36E-05,-33.5966124971389
-0.16991572510872,-3.22E-05,-32.2409704737926
-0.158260884184024,-3.09E-05,-30.854657816434
-0.145379217898833,-2.96E-05,-29.5542229343099
-0.133724376974136,-2.82E-05,-28.2108491645685
-0.122069536049439,-2.71E-05,-27.0760357061112
-0.109801282444495,-2.60E-05,-26.0025635156786
-0.0981464415197986,-2.49E-05,-24.8922865644312
-0.0858781879148546,-2.39E-05,-23.9414969100481
-0.0733032279697871,-2.30E-05,-22.966170748455
-0.061955093385214,-2.21E-05,-22.1319295033188
-0.0499935461203937,-2.11E-05,-21.119798580911
-0.0377252925154498,-2.02E-05,-20.2487525749599
-0.026070451590753,-1.92E-05,-19.1875486381323
-0.0138021979858091,-1.82E-05,-18.1508812085145
-0.00214735706111238,-1.70E-05,-17.0406042572671
0.0104276028839551,-1.58E-05,-15.7769741359579
0.0220824438086519,-1.44E-05,-14.4458686198215
0.0340439910734722,-1.30E-05,-12.9791989013504
0.0460055383382925,-1.16E-05,-11.6444129091325
0.0579670856031128,-1.02E-05,-10.1930785076677
0.0702353392080568,-8.90E-06,-8.90123140306706
0.0821968864728771,-7.73E-06,-7.7332936598764
0.0938517273975738,-6.97E-06,-6.96652780956741
0.106119981002518,-6.46E-06,-6.45984893568322
0.118694940947585,-6.29E-06,-6.29300068665598
0.130656488212406,-6.50E-06,-6.50278782330053
0.142618035477226,-7.11E-06,-7.10515907530327
0.153966170061799,-7.90E-06,-7.90198214694438
0.165927717326619,-8.91E-06,-8.91349965667201
0.17788926459144,-1.00E-05,-9.99678644998855
0.190157518196384,-1.09E-05,-10.8794872968643
0.20181235912108,-1.16E-05,-11.5738704509041
0.214080612726024,-1.20E-05,-12.0296360723278
0.225735453650721,-1.24E-05,-12.3878690775921
0.238003707255665,-1.26E-05,-12.6172854200046
0.250271960860609,-1.26E-05,-12.5547173266194
0.261620095445182,-1.24E-05,-12.4166994735637
0.274195055390249,-1.20E-05,-11.9597070267796
0.28615660265507,-1.13E-05,-11.2524422064546
0.29811814991989,-1.01E-05,-10.1280567635615
0.309772990844587,-8.52E-06,-8.5209155413138
0.321427831769284,-6.01E-06,-6.00715037766079
0.334309498054475,-2.66E-06,-2.65546349279011
0.345964338979171,2.01E-06,2.01003067063401
0.358232592584115,8.59E-06,8.58961776150149
0.369887433508812,1.68E-05,16.8289768825818
0.381848980773632,2.68E-05,26.8184023804074
0.3944239407187,3.82E-05,38.1542687113756
0.406078781643397,5.02E-05,50.1955596246281
0.418040328908217,6.20E-05,62.0037537193866
0.429695169832914,7.24E-05,72.3581597619593
0.441963423437858,7.99E-05,79.8785992217899
0.453924970702678,8.39E-05,83.896452277409
0.466193224307622,8.41E-05,84.1356832227054
0.478154771572442,8.14E-05,81.375326161593
0.490116318837262,7.66E-05,76.566170748455
0.501771159761959,7.09E-05,70.8798352025635
0.514039413366903,6.55E-05,65.4818036163882
0.526000960631723,6.06E-05,60.592904554818
0.537962507896544,5.63E-05,56.2622110322728
0.549924055161364,5.26E-05,52.5817349507897
0.562192308766308,4.93E-05,49.2509040970474
0.573847149691005,4.65E-05,46.5212176699474
0.585808696955825,4.42E-05,44.1718471046006
0.598076950560769,4.22E-05,42.2395971618219
0.609731791485466,4.03E-05,40.3318837262531
0.62200004509041,3.87E-05,38.6634012359808
0.63396159235523,3.73E-05,37.2525520714122
0.645616433279927,3.62E-05,36.197482261387
0.657884686884871,3.49E-05,34.9399862668803
0.669846234149691,3.39E-05,33.8726482032502
0.682114487754635,3.30E-05,33.0138704509041
0.693769328679332,3.21E-05,32.1366903181506
0.706037582284275,3.13E-05,31.2533760585946
0.717999129549096,3.06E-05,30.633829251545
0.729653970473792,3.00E-05,29.9652094300755
0.742535636758984,2.92E-05,29.2229800869764
0.75419047768368,2.88E-05,28.8058594644083
