Potential (V),Current (A),
0.798356190661478,0.000389762417029068,389.762417029068
0.787008056076905,1.61E-04,161.327534905013
0.774739802471961,1.15E-04,115.076218814374
0.762778255207141,9.23E-05,92.330876630808
0.750816707942321,7.86E-05,78.6272373540856
0.739161867017624,6.85E-05,68.469123369192
0.72689361341268,6.13E-05,61.2860608834974
0.714625359807736,5.55E-05,55.4954451819638
0.702357106202792,5.07E-05,50.7292286564431
0.691008971618219,4.70E-05,47.0180819409476
0.678434011673152,4.38E-05,43.7853971160449
0.667085877088578,4.10E-05,41.0495765621424
0.654510917143511,3.85E-05,38.497779812314
0.642856076218814,3.63E-05,36.2772259098192
0.630894528953994,3.43E-05,34.3449759670405
0.61862627534905,3.28E-05,32.7501029983978
0.60666472808423,3.10E-05,31.0448157473106
0.595316593499657,2.98E-05,29.8302586404211
0.583048339894713,2.84E-05,28.4439459830625
0.570780086289769,2.71E-05,27.1189745937285
0.559125245365072,2.59E-05,25.8860151064317
0.546856991760128,2.46E-05,24.5733119707027
0.534282031815061,2.34E-05,23.4016937514305
0.52232048455024,2.20E-05,21.9847104600595
0.510665643625543,2.01E-05,20.0831311512932
0.499010802700847,1.80E-05,18.0159304188602
0.486435842755779,1.53E-05,15.3475852597848
0.474474295490959,1.13E-05,11.2929274433509
0.462819454566262,6.60E-06,6.60338750286106
0.450551200961318,9.05E-08,0.0904783703364614
0.438896360036622,-7.99E-06,-7.98847333485923
0.427241519111925,-1.79E-05,-17.8950881208515
0.414666559166857,-2.88E-05,-28.7874570840009
0.403011718242161,-4.10E-05,-41.01890592813
0.39105017097734,-5.25E-05,-52.5265278095674
0.37908862371252,-6.31E-05,-63.0526894026093
0.366820370107576,-7.12E-05,-71.2417486839094
0.354858822842756,-7.59E-05,-75.9098191805905
0.342283862897688,-7.77E-05,-77.6764476997024
0.331549140993362,-7.60E-05,-76.0018310826276
0.318974181048295,-7.25E-05,-72.4808422980087
0.306705927443351,-6.83E-05,-68.2666971847105
0.294744380178531,-6.34E-05,-63.3593957427329
0.283089539253834,-5.89E-05,-58.8998855573358
0.27082128564889,-5.53E-05,-55.2807507438773
0.25885973838407,-5.19E-05,-51.8640421149004
0.246898191119249,-4.88E-05,-48.8460517280842
0.234936643854429,-4.62E-05,-46.2083772030213
0.222668390249485,-4.40E-05,-44.0246280613413
0.210706842984665,-4.23E-05,-42.3438773174639
0.198745295719844,-4.07E-05,-40.7183337148089
0.187090454795148,-3.92E-05,-39.1970702677958
0.174822201190204,-3.80E-05,-37.9579766536965
0.163167360265507,-3.68E-05,-36.8047608148318
0.151205813000687,-3.58E-05,-35.8233005264362
0.139244265735866,-3.49E-05,-34.8663767452506
0.126976012130922,-3.40E-05,-34.0198672465095
0.114707758525978,-3.32E-05,-33.1978942549783
0.103052917601282,-3.24E-05,-32.4127260242618
0.0910913703364614,-3.18E-05,-31.7563744563973
0.0794365294117647,-3.13E-05,-31.2963149462119
0.0668615694666972,-3.09E-05,-30.8975967040513
0.0549000222018769,-3.04E-05,-30.3884641794461
0.0432451812771801,-2.99E-05,-29.8731975280385
0.0309769276722362,-2.92E-05,-29.204577706569
0.0184019677271687,-2.88E-05,-28.7506523231861
0.00674712680247196,-2.85E-05,-28.4930189974823
-0.00490771412222476,-2.84E-05,-28.3948729686427
-0.0168692613870451,-2.80E-05,-28.0390936140993
-0.0288308086518654,-2.76E-05,-27.5606317235065
-0.0410990622568093,-2.72E-05,-27.2171206225681
-0.0530606095216297,-2.70E-05,-27.020828564889
-0.06502215678645,-2.69E-05,-26.9288166628519
-0.0772904103913939,-2.69E-05,-26.9226825360494
-0.0889452513160906,-2.70E-05,-27.0330968184939
-0.100600092240787,-2.71E-05,-27.125108720531
-0.113175052185855,-2.73E-05,-27.2539253833829
-0.124829893110552,-2.78E-05,-27.7630579079881
-0.136791440375372,-2.84E-05,-28.3887388418402
-0.148752987640192,-2.92E-05,-29.1739070725566
-0.161021241245136,-3.03E-05,-30.3148546578164
-0.172982788509956,-3.16E-05,-31.5907530327306
-0.184637629434653,-3.28E-05,-32.7807736324102
-0.197212589379721,-3.39E-05,-33.8726482032502
-0.209480842984665,-3.54E-05,-35.4123140306706
-0.220828977569238,-3.68E-05,-36.7986266880293
-0.233097231174182,-3.78E-05,-37.8107576104372
-0.245365484779126,-3.88E-05,-38.822888532845
-0.256713619363699,-4.01E-05,-40.1294575417716
-0.268675166628519,-4.08E-05,-40.8287479972534
-0.280943420233463,-4.15E-05,-41.4666971847105
-0.292904967498283,-4.21E-05,-42.11078049897
-0.304866514763104,-4.24E-05,-42.4420233463035
-0.316828062027924,-4.29E-05,-42.9204852368963
-0.328789609292744,-4.30E-05,-43.0186312657359
-0.340751156557565,-4.33E-05,-43.2823987182422
-0.353019410162509,-4.36E-05,-43.5584344243534
-0.365287663767452,-4.35E-05,-43.4602883955139
-0.376635798352026,-4.37E-05,-43.7363241016251
-0.38890405195697,-4.39E-05,-43.8958113984894
-0.397798535820554,-4.30E-05,-43.0186312657359
-0.385836988555734,-4.12E-05,-41.1967956054017
-0.373262028610666,-4.00E-05,-39.9761043717098
-0.361607187685969,-3.88E-05,-38.8474250400549
-0.349338934081025,-3.79E-05,-37.8720988784619
-0.337684093156329,-3.69E-05,-36.859967956054
-0.325722545891508,-3.59E-05,-35.9153124284733
-0.313760998626688,-3.50E-05,-34.9583886472877
-0.301492745021744,-3.40E-05,-34.0075989929046
-0.289531197756924,-3.31E-05,-33.0568093385214
-0.277569650492103,-3.21E-05,-32.0630807965209
-0.265608103227283,-3.12E-05,-31.2411078049897
-0.253953262302586,-3.02E-05,-30.192172121767
-0.241991715037766,-2.94E-05,-29.3824673838407
-0.229723461432822,-2.82E-05,-28.1863126573587
-0.217455207827878,-2.71E-05,-27.0514991989014
-0.205800366903181,-2.58E-05,-25.7817349507897
-0.193838819638361,-2.47E-05,-24.6653238727398
-0.181877272373541,-2.36E-05,-23.5857175555047
-0.16991572510872,-2.24E-05,-22.3895628290227
-0.1579541778439,-2.13E-05,-21.3038223849851
-0.14599263057908,-2.03E-05,-20.2978255893797
-0.133724376974136,-1.92E-05,-19.1568780041199
-0.122069536049439,-1.82E-05,-18.2183566033417
-0.109801282444495,-1.75E-05,-17.5374685282673
-0.0981464415197986,-1.63E-05,-16.3474479285878
-0.0861848942549782,-1.57E-05,-15.7156328679332
-0.0742233469901579,-1.48E-05,-14.7709773403525
-0.0616483870450904,-1.38E-05,-13.7790890363928
-0.0499935461203937,-1.32E-05,-13.2319249256123
-0.0374185861753262,-1.18E-05,-11.7689356832227
-0.0257637452506294,-1.11E-05,-11.0880476081483
-0.0138021979858091,-9.87E-06,-9.86674296177615
-0.00184065072098878,-8.51E-06,-8.5092607003891
0.0101208965438315,-7.58E-06,-7.57871366445411
0.0220824438086519,-6.29E-06,-6.29238727397574
0.0343506974135958,-4.99E-06,-4.98765850308995
0.0460055383382925,-4.24E-06,-4.2435889219501
0.0582737919432364,-3.17E-06,-3.16950331883726
0.0699286328679332,-2.24E-06,-2.243250171664
0.0818901801327535,-2.44E-06,-2.44015564202335
0.0938517273975738,-2.52E-06,-2.516218814374
0.105813274662394,-2.86E-06,-2.86095674067292
0.118081528267338,-4.57E-06,-4.56869764248112
0.129736369192035,-5.65E-06,-5.65137102311742
0.142311329137102,-6.49E-06,-6.49174639505608
0.153659463721675,-7.97E-06,-7.9737514305333
0.165927717326619,-9.14E-06,-9.13555504692149
0.178195970931563,-9.45E-06,-9.4514625772488
0.190157518196384,-1.02E-05,-10.2108674753948
0.20181235912108,-1.06E-05,-10.6169466697185
0.214080612726024,-1.08E-05,-10.7807278553445
0.226348866330968,-1.07E-05,-10.6647928587778
0.237697000915541,-1.07E-05,-10.7242938887617
0.250271960860609,-1.04E-05,-10.3593133440146
0.261926801785305,-9.36E-06,-9.36251773861295
0.274501761730373,-8.56E-06,-8.55649347676814
0.285543189974823,-7.62E-06,-7.61613183794919
0.298424856260014,-5.47E-06,-5.47286793316548
0.310386403524834,-2.44E-06,-2.43647516594186
0.322041244449531,1.17E-06,1.16983932249943
0.334002791714351,6.16E-06,6.16295719844358
0.346271045319295,1.33E-05,13.3208697642481
0.358232592584115,2.24E-05,22.3895628290227
0.369580727168688,3.28E-05,32.8298466468299
0.382155687113756,4.43E-05,44.3190661478599
0.393810528038453,5.66E-05,56.562783245594
0.40638548798352,6.79E-05,67.9293202105745
0.418040328908217,7.72E-05,77.1918516823072
0.429695169832914,8.35E-05,83.4609292744335
0.442270129777981,8.61E-05,86.092469672694
0.453924970702678,8.51E-05,85.1478141451133
0.466193224307622,8.15E-05,81.4673380636301
0.478154771572442,7.62E-05,76.1797207598993
0.489809612497139,7.05E-05,70.54859235523
0.501771159761959,6.53E-05,65.2732433051041
0.514039413366903,6.06E-05,60.592904554818
0.526000960631723,5.66E-05,56.6302586404211
0.53765580155642,5.31E-05,53.1276722362097
0.54961734882124,5.01E-05,50.0544747081712
0.562499015106432,4.75E-05,47.4597390707256
0.573847149691005,4.52E-05,45.2207827878233
0.586422109636072,4.33E-05,43.2639963378347
0.598076950560769,4.15E-05,41.4544289311055
0.610038497825589,4.01E-05,40.1233234149691
0.621693338750286,3.88E-05,38.8290226596475
0.634268298695354,3.76E-05,37.639002059968
0.646229845960174,3.65E-05,36.5225909819181
