Potential (V),Current (A),
0.798662897001602,3.22E-05,32.2041657129778
0.786701349736782,8.33E-06,389.762417029068
0.774739802471961,4.16E-06,4.16384527351797
0.762471548867018,2.33E-06,2.3303547722591
0.751123414282444,1.10E-06,1.10095307850767
0.7388551606775,4.04E-07,0.403748226138704
0.726586907072556,-1.69E-07,-0.169154680704967
0.715238772487983,-6.40E-07,-0.639544060425727
0.702663812542916,-9.59E-07,-0.958825360494392
0.691008971618219,-1.24E-06,-1.23989105058366
0.678740718013275,-1.44E-06,-1.43612176699474
0.667085877088578,-1.60E-06,-1.60450354772259
0.654510917143511,-1.91E-06,-1.90955367360952
0.642856076218814,-1.91E-06,-1.90771343556878
0.630281116273747,-2.09E-06,-2.08928358892195
0.618932981689174,-1.84E-06,-1.84391851682307
0.606971434424353,-2.42E-06,-2.41684596017395
0.594396474479286,-2.58E-06,-2.57633325703822
0.582741633554589,-2.25E-06,-2.2524513618677
0.570780086289769,-2.28E-06,-2.28066834515907
0.558818539024948,-2.35E-06,-2.34998397802701
0.546856991760128,-2.65E-06,-2.6474891279469
0.534895444495308,-3.00E-06,-3.00142824444953
0.522627190890364,-4.12E-06,-4.12029297322042
0.51035893728542,-5.63E-06,-5.62744792858778
0.498704096360723,-7.29E-06,-7.28918287937743
0.486742549095903,-9.39E-06,-9.38950789654383
0.475087708171206,-1.25E-05,-12.5056443121996
0.462819454566262,-1.78E-05,-17.8460151064317
0.450857907301442,-2.46E-05,-24.6407873655299
0.439203066376745,-3.25E-05,-32.5292744335088
0.427241519111925,-4.20E-05,-42.0187685969329
0.414666559166857,-5.29E-05,-52.8700389105058
0.402705011902037,-6.39E-05,-63.9482719157702
0.39105017097734,-7.40E-05,-74.0389105058366
0.378781917372396,-8.25E-05,-82.5101396200504
0.3671270764477,-8.85E-05,-88.4663767452506
0.354858822842756,-9.14E-05,-91.3555504692149
0.343203981918059,-9.16E-05,-91.5947814145113
0.331242434653239,-8.92E-05,-89.2270084687571
0.318667474708171,-8.54E-05,-85.4361181048295
0.307012633783474,-8.09E-05,-80.9091325246052
0.294437673838407,-7.63E-05,-76.3330739299611
0.28278283291371,-7.23E-05,-72.2722819867246
0.270514579308766,-6.87E-05,-68.689951934081
0.259166444724193,-6.56E-05,-65.6106202792401
0.247204897459373,-6.24E-05,-62.4024719615473
0.234629937514305,-6.00E-05,-59.9672236209659
0.222975096589609,-5.77E-05,-57.7344014648661
0.210400136644541,-5.59E-05,-55.8941634241245
0.198745295719844,-5.40E-05,-53.9864499885557
0.186170335774777,-5.26E-05,-52.6185397116045
0.17451549485008,-5.10E-05,-51.0236667429618
0.163167360265507,-4.96E-05,-49.6005493247883
0.150899106660563,-4.86E-05,-48.6374914168002
0.138937559395743,-4.77E-05,-47.7296406500343
0.126669305790799,-4.65E-05,-46.4844129091325
0.114707758525978,-4.55E-05,-45.4968184939345
0.102746211261158,-4.46E-05,-44.6441748683909
0.091398076676585,-4.40E-05,-44.0123598077363
0.0788231167315175,-4.32E-05,-43.1965209430075
0.0668615694666972,-4.23E-05,-42.2702677958343
0.0549000222018769,-4.17E-05,-41.6629892423896
0.0429384749370565,-4.13E-05,-41.2765392538338
0.0309769276722362,-4.06E-05,-40.5711146715495
0.0190153804074159,-3.98E-05,-39.810482948043
0.00644042046234836,-3.95E-05,-39.5099107347219
-0.00490771412222476,-3.89E-05,-38.8842298008698
-0.0171759677271687,-3.83E-05,-38.3321583886473
-0.0288308086518654,-3.81E-05,-38.0990615701534
-0.0410990622568093,-3.75E-05,-37.4733806363012
-0.0533673158617533,-3.74E-05,-37.3691004806592
-0.0653288631265736,-3.70E-05,-36.964248111696
-0.0769837040512703,-3.68E-05,-36.8047608148318
-0.0889452513160906,-3.68E-05,-36.7863584344244
-0.100600092240787,-3.67E-05,-36.7311512932021
-0.113175052185855,-3.69E-05,-36.9335774776837
-0.125136599450675,-3.75E-05,-37.510185397116
-0.136791440375372,-3.80E-05,-38.0377203021286
-0.149059693980316,-3.92E-05,-39.1541313801785
-0.161021241245136,-4.02E-05,-40.1969329365988
-0.17328949485008,-4.15E-05,-41.5219043259327
-0.1852510421149,-4.32E-05,-43.1903868162051
-0.196905883039597,-4.49E-05,-44.8956740672923
-0.209480842984665,-4.64E-05,-46.3801327534905
-0.221442390249485,-4.76E-05,-47.5946898603799
-0.233097231174182,-4.90E-05,-49.011673151751
-0.244752072098878,-5.01E-05,-50.1219501029984
-0.257327032043946,-5.13E-05,-51.3303730830854
-0.269288579308766,-5.22E-05,-52.1523460746166
-0.280943420233463,-5.29E-05,-52.8884412909132
-0.293211673838407,-5.35E-05,-53.5386587319753
-0.305173221103227,-5.40E-05,-53.9680476081483
-0.316214649347677,-5.43E-05,-54.3176928358892
-0.329096315632868,-5.44E-05,-54.4281071183337
-0.341057862897688,-5.46E-05,-54.6428015564202
-0.352712703822385,-5.48E-05,-54.7593499656672
-0.364674251087205,-5.48E-05,-54.7532158388647
-0.376942504692149,-5.49E-05,-54.8758983749142
-0.389210758297093,-5.50E-05,-54.9556420233463
-0.397798535820554,-5.42E-05,-54.2195468070497
-0.386450401235981,-5.20E-05,-52.0112611581598
-0.37356873495079,-5.05E-05,-50.5268024719615
-0.361913894026093,-4.90E-05,-49.0300755321584
-0.349645640421149,-4.77E-05,-47.7296406500343
-0.337990799496452,-4.65E-05,-46.5150835431449
-0.325722545891508,-4.55E-05,-45.5458915083543
-0.314067704966812,-4.45E-05,-44.4969558251316
-0.301492745021744,-4.32E-05,-43.2455939574273
-0.289837904097047,-4.21E-05,-42.123048752575
-0.277876356832227,-4.09E-05,-40.9391622796979
-0.26622151590753,-3.98E-05,-39.8411535820554
-0.253646555962463,-3.87E-05,-38.6756694895857
-0.241685008697642,-3.76E-05,-37.5653925383383
-0.230030167772946,-3.63E-05,-36.2710917830167
-0.218068620508125,-3.50E-05,-34.9951934081025
-0.206107073243305,-3.37E-05,-33.688624399176
-0.193532113298238,-3.24E-05,-32.375921263447
-0.182183978713664,-3.12E-05,-31.1981689173724
-0.170222431448844,-2.99E-05,-29.9406729228656
-0.1579541778439,-2.84E-05,-28.4132753490501
-0.145685924238956,-2.70E-05,-27.0269626916915
-0.134337789654383,-2.60E-05,-25.9780270084688
-0.121762829709316,-2.47E-05,-24.6530556191348
-0.110107988784619,-2.37E-05,-23.7390707255665
-0.097839735179675,-2.28E-05,-22.7882810711833
-0.0858781879148546,-2.19E-05,-21.8620279240101
-0.0739166406500343,-2.09E-05,-20.8621652552071
-0.0622617997253376,-2.01E-05,-20.1444724193179
-0.0499935461203937,-1.91E-05,-19.0525978484779
-0.0377252925154498,-1.83E-05,-18.2796978713664
-0.0257637452506294,-1.72E-05,-17.181689173724
-0.0134954916456855,-1.61E-05,-16.1388876173037
-0.00214735706111238,-1.51E-05,-15.0654154268711
0.0104276028839551,-1.37E-05,-13.7422842755779
0.0223891501487755,-1.24E-05,-12.4032043945983
0.0337372847333486,-1.13E-05,-11.318077363241
0.0460055383382925,-9.97E-06,-9.96611581597619
0.0579670856031128,-9.10E-06,-9.09691004806592
0.0699286328679332,-7.70E-06,-7.7007827878233
0.0818901801327535,-7.25E-06,-7.24563057907988
0.0941584337376974,-6.90E-06,-6.90457312886244
0.105813274662394,-6.62E-06,-6.62240329594873
0.118388234607462,-7.40E-06,-7.39653009842069
