Potential (V),Current (A),
0.798662897001602,7.68E-05,76.799267566949
0.786701349736782,2.65E-05,26.4687571526665
0.775046508812085,1.71E-05,17.0528725108721
0.762778255207141,1.22E-05,12.2081391622797
0.750816707942321,9.42E-06,9.4177248798352
0.7388551606775,7.41E-06,7.41370565346761
0.72689361341268,5.84E-06,5.83907530327306
0.715238772487983,4.55E-06,4.55152208743419
0.702663812542916,3.65E-06,3.64796520943007
0.690702265278096,2.87E-06,2.87322499427787
0.678740718013275,2.11E-06,2.10829938200961
0.666472464408331,1.62E-06,1.62308995193408
0.654510917143511,1.07E-06,1.07193865873198
0.642856076218814,6.62E-07,0.661626916914626
0.630894528953994,2.07E-07,0.207210803387503
0.618932981689174,-8.61E-08,-0.086080201419089
0.60666472808423,-4.84E-07,-0.483675898374914
0.595009887159533,-7.47E-07,-0.746523231860838
0.583048339894713,-1.10E-06,-1.10168917372396
0.570473379949645,-1.55E-06,-1.55138200961318
0.558818539024948,-2.06E-06,-2.06352025635157
0.546856991760128,-2.61E-06,-2.60823071641108
0.534895444495308,-3.55E-06,-3.54981918059052
0.523240603570611,-4.70E-06,-4.69567406729229
0.510665643625543,-6.46E-06,-6.46046234836347
0.498704096360723,-8.96E-06,-8.9588921950103
0.486742549095903,-1.26E-05,-12.5510368505379
0.475087708171206,-1.76E-05,-17.5791805905241
0.462512748226139,-2.41E-05,-24.0641794460975
0.450857907301442,-3.25E-05,-32.5292744335088
0.438896360036622,-4.24E-05,-42.3868162050812
0.426934812771801,-5.35E-05,-53.4773174639506
0.415279971847105,-6.52E-05,-65.1505607690547
0.403318424582284,-7.61E-05,-76.1122453650721
0.390743464637217,-8.56E-05,-85.5894712748913
0.37908862371252,-9.24E-05,-92.3799496452277
0.366820370107576,-9.61E-05,-96.0788281071183
0.354858822842756,-9.64E-05,-96.3671320668345
0.342590569237812,-9.40E-05,-94.0116273746853
0.330935728313115,-8.99E-05,-89.914030670634
0.319280887388418,-8.51E-05,-85.1294117647059
0.307012633783474,-8.03E-05,-80.3018539711604
0.294744380178531,-7.58E-05,-75.811673151751
0.282476126573587,-7.18E-05,-71.7999542229343
0.27082128564889,-6.82E-05,-68.1992217898833
0.25885973838407,-6.51E-05,-65.1198901350423
0.247204897459373,-6.24E-05,-62.4270084687572
0.234629937514305,-6.01E-05,-60.0653696498054
0.222975096589609,-5.80E-05,-57.9613641565576
0.211013549324788,-5.61E-05,-56.121126115816
0.199052002059968,-5.44E-05,-54.4281071183337
0.186783748455024,-5.30E-05,-52.9927214465553
0.174822201190204,-5.17E-05,-51.7106889448386
0.162860653925383,-5.05E-05,-50.4531929503319
0.150899106660563,-4.93E-05,-49.2999771114672
0.138937559395743,-4.83E-05,-48.349187457084
0.126669305790799,-4.74E-05,-47.4045319295033
0.115014464866102,-4.65E-05,-46.5273517967498
0.103052917601282,-4.58E-05,-45.7544518196384
0.0907846639963378,-4.50E-05,-45.0122224765392
0.0791298230716411,-4.43E-05,-44.2761272602426
0.0668615694666972,-4.36E-05,-43.6136415655756
0.0549000222018769,-4.30E-05,-42.994094758526
0.0426317685969329,-4.23E-05,-42.3132066834516
0.0306702213321126,-4.18E-05,-41.7550011444266
0.0190153804074159,-4.13E-05,-41.2949416342412
0.00705383314259556,-4.07E-05,-40.7121995880064
-0.00490771412222476,-4.04E-05,-40.3502861066606
-0.0168692613870451,-3.98E-05,-39.8350194552529
-0.0288308086518654,-3.95E-05,-39.5344472419318
-0.0407923559166857,-3.92E-05,-39.1786678873884
-0.0533673158617533,-3.89E-05,-38.9149004348821
-0.0653288631265736,-3.87E-05,-38.7002059967956
-0.0766769977111467,-3.87E-05,-38.6634012359808
-0.0889452513160906,-3.87E-05,-38.7124742504005
-0.101520211261158,-3.91E-05,-39.0682536049439
-0.112868345845731,-3.95E-05,-39.485374227512
-0.125443305790799,-4.01E-05,-40.1294575417716
-0.137098146715496,-4.10E-05,-40.9636987869078
-0.149059693980316,-4.21E-05,-42.1353170061799
-0.161021241245136,-4.33E-05,-43.3498741130693
-0.172982788509956,-4.48E-05,-44.7975280384527
-0.184637629434653,-4.62E-05,-46.1777065690089
-0.196905883039597,-4.74E-05,-47.4352025635157
-0.208867430304417,-4.86E-05,-48.6374914168002
-0.220828977569238,-4.96E-05,-49.5637445639734
-0.232790524834058,-5.05E-05,-50.4899977111467
-0.245058778439002,-5.12E-05,-51.195422293431
-0.257020325703822,-5.17E-05,-51.6922865644312
-0.269288579308766,-5.22E-05,-52.1952849622339
-0.280943420233463,-5.24E-05,-52.3977111467155
-0.292904967498283,-5.27E-05,-52.7044174868391
-0.305173221103227,-5.28E-05,-52.8271000228885
-0.316828062027924,-5.29E-05,-52.9252460517281
-0.329096315632868,-5.29E-05,-52.8884412909132
-0.341057862897688,-5.29E-05,-52.8516365300984
-0.353326116502632,-5.30E-05,-53.0295262073701
-0.364367544747082,-5.29E-05,-52.937514305333
-0.376329092011902,-5.30E-05,-53.0049897001602
-0.389210758297093,-5.31E-05,-53.1399404898146
-0.398105242160677,-5.22E-05,-52.1768825818265
-0.38553028221561,-4.97E-05,-49.7232318608377
-0.37448885397116,-4.80E-05,-48.0486152437629
-0.362220600366217,-4.66E-05,-46.5518883039597
-0.349952346761273,-4.54E-05,-45.3925383382925
-0.337684093156329,-4.43E-05,-44.2699931334401
-0.326029252231632,-4.32E-05,-43.2210574502174
-0.314374411306935,-4.22E-05,-42.1905241474021
-0.301799451361868,-4.13E-05,-41.2826733806363
-0.289531197756924,-4.02E-05,-40.2092011902037
-0.278183063172351,-3.92E-05,-39.2461432822156
-0.265914809567407,-3.83E-05,-38.3076218814374
-0.253646555962463,-3.73E-05,-37.3138933394369
-0.241685008697642,-3.63E-05,-36.2649576562142
-0.229723461432822,-3.52E-05,-35.222156099794
-0.217455207827878,-3.42E-05,-34.1854886701762
-0.205800366903181,-3.31E-05,-33.0936140993362
-0.194145525978485,-3.20E-05,-32.0017395284962
-0.181570566033417,-3.08E-05,-30.8178530556191
-0.16991572510872,-2.96E-05,-29.6216983291371
-0.1579541778439,-2.84E-05,-28.3826047150378
-0.145685924238956,-2.72E-05,-27.1987182421607
-0.133724376974136,-2.61E-05,-26.1436484321355
-0.121762829709316,-2.50E-05,-25.0211032272831
-0.109187869764248,-2.40E-05,-23.9598992904555
-0.097839735179675,-2.30E-05,-23.0213778896773
-0.0858781879148546,-2.22E-05,-22.1564660105287
-0.0736099343099107,-2.12E-05,-21.1995422293431
-0.0625685060654612,-2.04E-05,-20.3714351110094
-0.0493801334401465,-1.96E-05,-19.586266880293
-0.0377252925154498,-1.87E-05,-18.7274891279469
-0.026070451590753,-1.78E-05,-17.8441748683909
-0.0141089043259327,-1.69E-05,-16.8749828336004
-0.00153394438086519,-1.58E-05,-15.8137788967727
0.0104276028839551,-1.46E-05,-14.5501487754635
0.0223891501487755,-1.33E-05,-13.2662760357061
0.0340439910734722,-1.19E-05,-11.8584939345388
0.0463122446784161,-1.03E-05,-10.2899977111467
0.0582737919432364,-8.79E-06,-8.78959029526207
0.0705420455481804,-7.34E-06,-7.33825589379721
0.0821968864728771,-6.01E-06,-6.00776379034104
0.094465140077821,-4.90E-06,-4.89748683909361
0.105813274662394,-4.11E-06,-4.11415884641794
0.118081528267338,-3.70E-06,-3.69703822384985
0.130043075532158,-3.65E-06,-3.65041886015106
0.142004622796979,-4.07E-06,-4.07428702220188
0.153966170061799,-4.85E-06,-4.85148088807507
0.166541130006867,-5.96E-06,-5.96298466468299
0.177582558251316,-6.98E-06,-6.98124971389334
0.190157518196384,-8.10E-06,-8.10072785534447
0.20181235912108,-8.80E-06,-8.79695124742504
0.214387319066148,-9.52E-06,-9.51832455939574
0.226042159990845,-9.89E-06,-9.89373311970702
0.237697000915541,-1.01E-05,-10.1078141451133
0.249965254520485,-1.03E-05,-10.2771160448615
0.261926801785305,-1.01E-05,-10.0949324788281
0.274195055390249,-9.75E-06,-9.75387502861066
0.286463308995193,-9.14E-06,-9.13923552300297
0.298424856260014,-8.19E-06,-8.18660563057908
0.31007969718471,-6.71E-06,-6.71441519798581
0.322041244449531,-4.52E-06,-4.5177843900206
0.334309498054475,-1.41E-06,-1.40594186312657
0.345964338979171,2.95E-06,2.94683451590753
0.357925886243992,9.08E-06,9.08157473105974
